day,temp_min,temp_max
19850101,-9.4,-7
19850102,-9.1,-6.5
19850103,-12.3,-9.6
19850104,-12.9,-9.7
19850105,-18.4,-14.2
19850106,-19.6,-14.8
19850107,-17.1,-11
19850108,-17.5,-12.8
19850109,-19.3,-16.1
19850110,-15.6,-9.8
19850111,-14.4,-7.3
19850112,-13.2,-7.5
19850113,-10.7,-7.5
19850114,-10.8,-7.1
19850115,-8.6,-4.9
19850116,-5.7,-3.8
19850117,-5.5,-0.2
19850118,-4.3,0.9
19850119,-5.8,-1.4
19850120,-5.4,0.1
19850121,-3.6,0.7
19850122,-0.8,2.2
19850123,0.3,1.9
19850124,-5.6,0.1
19850125,-6.7,-1.5
19850126,-5.1,-2.4
19850127,-5.1,-0.4
19850128,-5,0.2
19850129,-5.4,-0.3
19850130,-3.1,1.3
19850131,-1.2,4.8
19850201,2.5,11.4
19850202,4.9,11.7
19850203,2.2,7.7
19850204,-0.4,6.2
19850205,1.1,7
19850206,-0.1,3.6
19850207,-1.1,3.9
19850208,1.5,3.9
19850209,1.2,4.4
19850210,-2.4,1
19850211,-3.8,-1.8
19850212,-5,-0.3
19850213,-4,-1.4
19850214,-2.3,-0.2
19850215,-3.1,-1.2
19850216,-4.3,-0.9
19850217,-4.4,-0.6
19850218,-6.6,-2.7
19850219,-12.6,-6.9
19850220,-8.5,-0.9
19850221,-6.7,0
19850222,-6.7,0.4
19850223,-5.3,2.1
19850224,-0.2,7.2
19850225,2.8,8.5
19850226,2.3,7
19850227,1.4,4.4
19850228,-0.1,1.6
19850301,-0.6,4.5
19850302,-2.7,-1.3
19850303,-4.4,2.1
19850304,-0.3,3.8
19850305,-0.8,1.9
19850306,-1.4,3.2
19850307,-0.3,1.5
19850308,0.6,4.1
19850309,-2.5,2
19850310,-3.2,2.8
19850311,-3.1,0.2
19850312,-4.1,0.4
19850313,-0.6,3.8
19850314,-3,0.9
19850315,-4.4,-0.4
19850316,-6,0.3
19850317,-7,-4.4
19850318,-6.7,-2.7
19850319,-7.8,-2.5
19850320,-5.7,0.5
19850321,-3.2,0.5
19850322,-1.3,4.5
19850323,-2,1.7
19850324,-2.1,4.2
19850325,-0.9,5.3
19850326,1.9,7.5
19850327,0.7,3.8
19850328,-3.1,0.1
19850329,-2.9,4.2
19850330,2.9,8.7
19850331,4,10.6
19850401,4.6,11.7
19850402,4.2,9.8
19850403,5.6,13.3
19850404,5.8,12
19850405,4.2,10.1
19850406,2,8.5
19850407,2.9,9.5
19850408,1.9,4
19850409,3,7.2
19850410,1.1,5.2
19850411,1.2,8.3
19850412,-2.1,0.7
19850413,0,4.8
19850414,-0.9,4.1
19850415,-0.8,4.3
19850416,1.4,7.6
19850417,3.5,10.6
19850418,3.9,11
19850419,5.2,12
