dec,acc_ref,"1890-1899 : 
1/3 initiative(s) acceptée(s)","1900-1909 : 
1/4 initiative(s) acceptée(s)","1910-1919 : 
1/3 initiative(s) acceptée(s)","1920-1929 : 
3/14 initiative(s) acceptée(s)","1930-1939 : 
0/6 initiative(s) acceptée(s)","1940-1949 : 
1/6 initiative(s) acceptée(s)","1950-1959 : 
1/10 initiative(s) acceptée(s)","1960-1969 : 
0/5 initiative(s) acceptée(s)","1970-1979 : 
0/23 initiative(s) acceptée(s)","1980-1989 : 
2/24 initiative(s) acceptée(s)","1990-1999 : 
3/29 initiative(s) acceptée(s)","2000-2009 : 
5/44 initiative(s) acceptée(s)","2010-2019 : 
5/45 initiative(s) acceptée(s)","2020-2023 : 
4/13 initiative(s) acceptée(s)"
1890-1899,tot_acc,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1890-1899,tot_ref,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900-1909,tot_acc,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900-1909,tot_ref,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910-1919,tot_acc,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910-1919,tot_ref,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920-1929,tot_acc,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920-1929,tot_ref,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930-1939,tot_acc,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930-1939,tot_ref,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940-1949,tot_acc,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1940-1949,tot_ref,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
1950-1959,tot_acc,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
1950-1959,tot_ref,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
1960-1969,tot_acc,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
1960-1969,tot_ref,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
1970-1979,tot_acc,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1970-1979,tot_ref,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA
1980-1989,tot_acc,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
1980-1989,tot_ref,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA
1990-1999,tot_acc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
1990-1999,tot_ref,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA
2000-2009,tot_acc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
2000-2009,tot_ref,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA
2010-2019,tot_acc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
2010-2019,tot_ref,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA
2020-2023,tot_acc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2020-2023,tot_ref,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
