Objet,date_fr,Pourcentage de oui
"Arrêté fédéral concernant l'adoption d'un
article constitutionnel en vue de la perception
d'un impôt de guerre non renouvelable
",6 juin 1915,94.27
"Arrêté fédéral insérant dans la constitution
fédérale un article 24septies sur la protection
de l'homme et de son milieu naturel contre les
atteintes nuisibles ou incommodantes
",6 juin 1971,92.7
"Arrêté fédéral sur le transfert de la commune
bernoise de Vellerat au canton du Jura
",10 mars 1996,91.64
"Arrêté fédéral revisant les articles 107 et
116 de la constitution fédérale (reconnaissance
du romanche comme langue nationale)
",20 février 1938,91.59
"Arrêté fédéral concernant un article
constitutionnel sur la médecine de la
transplantation
",7 février 1999,87.77
"Arrêté fédéral sur la sauvegarde de la monnaie
",4 juin 1972,87.73
"Arrêté fédéral relatif à la réforme de la
justice
",12 mars 2000,86.36
"Arrêté fédéral contre l'usage abusif d'armes
",26 septembre 1993,86.27
"Arrêté fédéral concernant la nouvelle
réglementation de l'approvisionnement du pays
",2 mars 1980,86.05
"Arrêté fédéral modifiant les articles de la
Constitution sur la formation
",21 mai 2006,85.58
"Arrêté fédéral sur la sauvegarde de la
monnaie. Modification du 28 juin 1974
",8 juin 1975,85.52
"Arrêté fédéral portant insertion dans la
constitution fédérale d'un article 34septies sur
la déclaration de force obligatoire générale
de baux à loyer et sur des mesures en vue de la
protection des locataires
",5 mars 1972,85.4
"Arrêté fédéral concernant un frein à
l'endettement
",2 décembre 2001,84.74
"Arrêté fédéral concernant le nouveau régime
financier 2021
",4 mars 2018,84.11
"Arrêté fédéral concernant un article sur la
protection des animaux qui remplace l'article
25bis actuel de la constitution fédérale
",2 décembre 1973,83.95
"Arrêté fédéral concernant l'insertion d'un
article 24ter dans la constitution fédérale
(navigation)
",4 mai 1919,83.61
"Arrêté fédéral instituant un frein aux
dépenses
",12 mars 1995,83.38
"Arrêté fédéral concernant la stabilisation du
marché de la construction
",4 juin 1972,83.35
"Arrêté fédéral pour l'introduction d'un
service civil pour les objecteurs de conscience
",17 mai 1992,82.52
"Arrêté fédéral sur la création du canton du
Jura
",24 septembre 1978,82.29
